"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Pogonatum urnigerum","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polychidium muscicola","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Scytinium lichenoides","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R24",6.9,0,0,"Skvöp","15. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R25",6.9,0,0,"Skvöp","15. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,14,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Dauður mosi","Mosar","R26",6.9,0,0,"Skvöp","15. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia furcata","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia pocillum","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia pocillum","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Peltigera polydactylon","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Peltigera polydactylon","Blað- og runnfléttur","R26",6.9,0,0,"Skvöp","15. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R27",2.7,0,1,"Langholt","12. mynd",2023,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2023,0.5,"Innan þynningarsvæðis brennisteins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2020,1,"Innan þynningarsvæðis brennisteins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R27",2.7,0,1,"Langholt","12. mynd",2023,1,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R30",3.2,0,0,"Álfholt","26. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R30",3.2,0,0,"Álfholt","26. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
