"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Amphidium lapponicum","Mosar","R16",8.7,0,0,1,NA,NA,"Tíðaskarð","31. mynd"
"Andreaea rupestris","Mosar","R16",8.7,0,0,7,12,5,"Tíðaskarð","31. mynd"
"Encalypta rhaptocarpa","Mosar","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Frullania tamarisci","Mosar","R16",8.7,0,0,2,3,1,"Tíðaskarð","31. mynd"
"Grimmia funalis","Mosar","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Grimmia montana","Mosar","R16",8.7,0,0,2,NA,NA,"Tíðaskarð","31. mynd"
"Isothecium myosuroides","Mosar","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Pohlia cruda","Mosar","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Racomitrium lanuginosum","Mosar","R16",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Mosi 3","Mosar","R16",8.7,0,0,0.5,3,2.5,"Tíðaskarð","31. mynd"
"Mosi 4","Mosar","R16",8.7,0,0,0.1,2,1.9,"Tíðaskarð","31. mynd"
"Mosi 5","Mosar","R16",8.7,0,0,0.1,NA,NA,"Tíðaskarð","31. mynd"
"Cetraria aculeata","Blað- og runnfléttur","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Cladonia chlorophaea","Blað- og runnfléttur","R16",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R16",8.7,0,0,10,9,-1,"Tíðaskarð","31. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R16",8.7,0,0,3,1,-2,"Tíðaskarð","31. mynd"
"Candelariella vitellina","Hrúðurfléttur","R16",8.7,0,0,1,0.5,-0.5,"Tíðaskarð","31. mynd"
"Lecanora intricata","Hrúðurfléttur","R16",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Lecanora polytropa","Hrúðurfléttur","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lepraria frigida","Hrúðurfléttur","R16",8.7,0,0,1,1,0,"Tíðaskarð","31. mynd"
"Lepraria neglecta","Hrúðurfléttur","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Ochrolechia androgyna","Hrúðurfléttur","R16",8.7,0,0,1,0.1,-0.9,"Tíðaskarð","31. mynd"
"Ochrolechia parella","Hrúðurfléttur","R16",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Ochrolechia sp.","Hrúðurfléttur","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R16",8.7,0,0,7,9,2,"Tíðaskarð","31. mynd"
"Placynthium sp.","Hrúðurfléttur","R16",8.7,0,0,2,2,0,"Tíðaskarð","31. mynd"
"Porpidia melinodes","Hrúðurfléttur","R16",8.7,0,0,1,2,1,"Tíðaskarð","31. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R16",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R16",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Tephromela atra","Hrúðurfléttur","R16",8.7,0,0,0.1,0.5,0.4,"Tíðaskarð","31. mynd"
"Tremolecia atrata","Hrúðurfléttur","R16",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Varicellaria lactea","Hrúðurfléttur","R16",8.7,0,0,10,8,-2,"Tíðaskarð","31. mynd"
"dökk m. litlum svörtum askh.","Hrúðurfléttur","R16",8.7,0,0,5,2,-3,"Tíðaskarð","31. mynd"
"Svört hreistur","Hrúðurfléttur","R16",8.7,0,0,NA,2,NA,"Tíðaskarð","31. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R16",8.7,0,0,12,8,-4,"Tíðaskarð","31. mynd"
"Ber klöpp","Hrúðurfléttur","R16",8.7,0,0,2,2,0,"Tíðaskarð","31. mynd"
"Andreaea rupestris","Mosar","R17",8.7,0,0,2,11,9,"Tíðaskarð","31. mynd"
"Bartramia ithyphylla","Mosar","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Encalypta rhaptocarpa","Mosar","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Frullania tamarisci","Mosar","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Grimmia montana","Mosar","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Pogonatum urnigerum","Mosar","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Schistidium papillosum","Mosar","R17",8.7,0,0,0.5,1,0.5,"Tíðaskarð","31. mynd"
"Cladonia cervicornis cf.","Blað- og runnfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Cladonia sp","Blað- og runnfléttur","R17",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Parmelia omphalodes","Blað- og runnfléttur","R17",8.7,0,0,68,68,0,"Tíðaskarð","31. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Sphaerophorus fragilis","Blað- og runnfléttur","R17",8.7,0,0,6,6,0,"Tíðaskarð","31. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R17",8.7,0,0,1,2,1,"Tíðaskarð","31. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R17",8.7,0,0,1,0.5,-0.5,"Tíðaskarð","31. mynd"
"Candelariella vitellina","Hrúðurfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Catillaria contristans","Hrúðurfléttur","R17",8.7,0,0,0.1,0.5,0.4,"Tíðaskarð","31. mynd"
"Lecanora intricata","Hrúðurfléttur","R17",8.7,0,0,0.1,0.5,0.4,"Tíðaskarð","31. mynd"
"Lecanora polytropa","Hrúðurfléttur","R17",8.7,0,0,NA,0.5,NA,"Tíðaskarð","31. mynd"
"Lecidea lapicida","Hrúðurfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lecidea sp.","Hrúðurfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Lecidella meiococca","Hrúðurfléttur","R17",8.7,0,0,0.5,NA,NA,"Tíðaskarð","31. mynd"
"Ochrolechia androgyna","Hrúðurfléttur","R17",8.7,0,0,NA,NA,NA,"Tíðaskarð","31. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R17",8.7,0,0,1,1,0,"Tíðaskarð","31. mynd"
"Placopsis gelida","Hrúðurfléttur","R17",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R17",8.7,0,0,0.01,NA,NA,"Tíðaskarð","31. mynd"
"Tephromela atra","Hrúðurfléttur","R17",8.7,0,0,0.5,0.5,0,"Tíðaskarð","31. mynd"
"Tremolecia atrata","Hrúðurfléttur","R17",8.7,0,0,0.1,NA,NA,"Tíðaskarð","31. mynd"
"Varicellaria lactea","Hrúðurfléttur","R17",8.7,0,0,NA,0.5,NA,"Tíðaskarð","31. mynd"
"Óaðgreindar tegundir:","Hrúðurfléttur","R17",8.7,0,0,2,3,1,"Tíðaskarð","31. mynd"
"Ber klöpp","Hrúðurfléttur","R17",8.7,0,0,9,10,1,"Tíðaskarð","31. mynd"
"Andreaea rupestris","Mosar","R18",8.7,0,0,7,11,4,"Tíðaskarð","31. mynd"
